,edgeid,coords
0,"(312212821, 312212860)",
1,"(312212821, 312212850)","[(1.7063574, 41.3538351), (1.7063969, 41.3537953), (1.7064501, 41.3537659)]"
2,"(312212829, 5487300026)",
3,"(312212829, 369254643)","[(1.7055926, 41.3510333), (1.7055429, 41.3510233), (1.7055008, 41.351001), (1.7054714, 41.3509693), (1.7054584, 41.3509319)]"
4,"(312212842, 489649774)",
5,"(312212842, 489649775)","[(1.706444, 41.3540615), (1.7063915, 41.3540304), (1.7063535, 41.3539891)]"
6,"(312212850, 312212874)","[(1.7064501, 41.3537659), (1.7065088, 41.3537499), (1.7065711, 41.3537466), (1.7066322, 41.3537563), (1.7066873, 41.3537783)]"
7,"(312212860, 312212850)",
8,"(312212860, 795816198)","[(1.7063388, 41.353631), (1.7063279, 41.3535922), (1.7060312, 41.3525368)]"
9,"(312212874, 1653465775)",
10,"(312212874, 312212892)","[(1.7066873, 41.3537783), (1.7067384, 41.3538169), (1.7067705, 41.3538657), (1.7067802, 41.3539197), (1.7067665, 41.3539731), (1.7067308, 41.3540205), (1.7066769, 41.3540569)]"
11,"(312212892, 489649777)","[(1.7066769, 41.3540569), (1.7066121, 41.3540783), (1.7065417, 41.3540834)]"
12,"(312212892, 489649780)","[(1.7066769, 41.3540569), (1.7066546, 41.3542103), (1.7066029, 41.3545216), (1.7066017, 41.3546974)]"
13,"(312212899, 5031515428)","[(1.7120113, 41.3498572), (1.7119754, 41.3498236), (1.7119539, 41.3497837), (1.7119485, 41.3497408)]"
14,"(312212899, 1653465775)","[(1.7120113, 41.3498572), (1.7108667, 41.3507012), (1.7097651, 41.3515135), (1.7092472, 41.3518957), (1.7080923, 41.3527202)]"
15,"(312212918, 5031515310)",
16,"(312212918, 312212986)","[(1.7111574, 41.347888), (1.7111353, 41.3479907), (1.7111079, 41.3480347), (1.7110289, 41.348116)]"
17,"(312212929, 312212918)","[(1.7107999, 41.3477044), (1.7109271, 41.347732), (1.7109855, 41.3477468), (1.7110881, 41.3478034), (1.7111574, 41.347888)]"
18,"(312212929, 3706233725)","[(1.7107999, 41.3477044), (1.7107777, 41.3473581), (1.7107482, 41.3470681), (1.7107463, 41.3468741), (1.7107443, 41.3467851), (1.7107681, 41.3464983)]"
19,"(312212937, 312212929)","[(1.7105595, 41.3478822), (1.7105939, 41.3478181), (1.7106441, 41.3477717), (1.7107138, 41.3477339), (1.7107999, 41.3477044)]"
20,"(312212937, 440669472)","[(1.7105595, 41.3478822), (1.7103393, 41.3478316), (1.7082487, 41.3473514)]"
21,"(312212982, 2197678602)",
22,"(312212982, 2108953715)","[(1.7107651, 41.3482506), (1.710687, 41.3482365), (1.7106243, 41.348195), (1.7105778, 41.3480877)]"
23,"(312212986, 2197678603)",
24,"(312213002, 5031515318)",
25,"(312213002, 367878648)","[(1.7141105, 41.3489571), (1.7138275, 41.3488867), (1.7135839, 41.3488642), (1.7133647, 41.3489185), (1.7131403, 41.3490326)]"
26,"(312213002, 2108953730)","[(1.7141105, 41.3489571), (1.7142373, 41.3490237), (1.7142988, 41.3490395), (1.7143629, 41.349048), (1.7144392, 41.3490511)]"
27,"(312213015, 312213034)",
28,"(312213018, 312213026)","[(1.7156433, 41.3492153), (1.7155373, 41.3492209), (1.7154425, 41.3492143), (1.7153468, 41.3492), (1.7152254, 41.3491602)]"
29,"(312213018, 8300892480)","[(1.7156433, 41.3492153), (1.7155702, 41.3492539), (1.7155246, 41.3492953), (1.715485, 41.3493543), (1.7154689, 41.3493996), (1.7154497, 41.3494728), (1.7154368, 41.3495881), (1.715438, 41.3496838), (1.7154547, 41.3497814), (1.7154806, 41.3498698), (1.7155308, 41.3499707), (1.7156247, 41.3500736), (1.7157394, 41.3501622), (1.7180633, 41.351809), (1.7182307, 41.3519152), (1.7183582, 41.3519781), (1.718519, 41.3520502), (1.7187199, 41.3521122), (1.7189038, 41.3521498), (1.7190827, 41.3521706), (1.7192982, 41.3521767), (1.7194407, 41.3521706), (1.7195535, 41.3521564), (1.7197008, 41.3521366), (1.7198538, 41.3520988), (1.7200295, 41.3520369), (1.7201567, 41.3519833), (1.7203082, 41.3519029), (1.7204299, 41.3518248), (1.7205471, 41.3517316), (1.7206504, 41.3516298), (1.7207431, 41.35152), (1.7208015, 41.35143), (1.7208508, 41.3513409), (1.7209003, 41.3512245), (1.7209278, 41.3511248), (1.7209395, 41.3510296), (1.7209359, 41.3509351), (1.7209111, 41.3508422), (1.7208679, 41.3507551), (1.7208112, 41.3506773), (1.72073, 41.3506007), (1.7206445, 41.3505392), (1.7205488, 41.3504937), (1.7204418, 41.3504536), (1.7203349, 41.3504268), (1.7202242, 41.3504128), (1.7201065, 41.350411), (1.7199808, 41.3504236), (1.7198604, 41.3504501), (1.7197485, 41.3504937), (1.71964, 41.3505533), (1.7195595, 41.3506099), (1.7194796, 41.3506943), (1.7194192, 41.3507865), (1.7193857, 41.3508609), (1.719367, 41.3509417), (1.7193634, 41.3510252), (1.719376, 41.3511187), (1.7193912, 41.3511756), (1.7194292, 41.3512664), (1.7196167, 41.3515735), (1.719742, 41.351898)]"
30,"(312213026, 312213030)","[(1.7152254, 41.3491602), (1.7151571, 41.3491282), (1.7150945, 41.3490901)]"
31,"(312213030, 312213015)","[(1.7150945, 41.3490901), (1.715032, 41.3490434), (1.7149897, 41.3489981), (1.7149491, 41.3489454), (1.7149174, 41.3488895), (1.7148916, 41.3488378), (1.7148798, 41.3487783), (1.7148796, 41.348706)]"
32,"(312213030, 2108953730)","[(1.7150945, 41.3490901), (1.7149864, 41.3490496), (1.714905, 41.3490308), (1.7148408, 41.3490275), (1.7147711, 41.3490318), (1.7146554, 41.3490486), (1.714553, 41.3490574), (1.7144392, 41.3490511)]"
