,edgeid,coords
0,"(312212821, 312212860)",
1,"(312212821, 312212850)","[(1.7063574, 41.3538351), (1.7063969, 41.3537953), (1.7064501, 41.3537659)]"
2,"(312212821, 489649775)","[(1.7063574, 41.3538351), (1.7063341, 41.3538853), (1.7063328, 41.3539383), (1.7063535, 41.3539891)]"
3,"(312212829, 5487300026)",
4,"(312212829, 369254643)","[(1.7055926, 41.3510333), (1.7055429, 41.3510233), (1.7055008, 41.351001), (1.7054714, 41.3509693), (1.7054584, 41.3509319)]"
5,"(312212829, 369254704)","[(1.7055926, 41.3510333), (1.7056495, 41.3510286), (1.7056998, 41.351008)]"
6,"(312212842, 489649774)",
7,"(312212842, 489649775)","[(1.706444, 41.3540615), (1.7063915, 41.3540304), (1.7063535, 41.3539891)]"
8,"(312212842, 489649777)","[(1.706444, 41.3540615), (1.7064912, 41.3540767), (1.7065417, 41.3540834)]"
9,"(312212850, 312212860)",
10,"(312212850, 312212874)","[(1.7064501, 41.3537659), (1.7065088, 41.3537499), (1.7065711, 41.3537466), (1.7066322, 41.3537563), (1.7066873, 41.3537783)]"
11,"(312212850, 312212821)","[(1.7064501, 41.3537659), (1.7063969, 41.3537953), (1.7063574, 41.3538351)]"
12,"(312212860, 312212821)",
13,"(312212860, 312212850)",
14,"(312212860, 795816198)","[(1.7063388, 41.353631), (1.7063279, 41.3535922), (1.7060312, 41.3525368)]"
15,"(312212874, 1653465775)",
16,"(312212874, 312212892)","[(1.7066873, 41.3537783), (1.7067384, 41.3538169), (1.7067705, 41.3538657), (1.7067802, 41.3539197), (1.7067665, 41.3539731), (1.7067308, 41.3540205), (1.7066769, 41.3540569)]"
17,"(312212874, 312212850)","[(1.7066873, 41.3537783), (1.7066322, 41.3537563), (1.7065711, 41.3537466), (1.7065088, 41.3537499), (1.7064501, 41.3537659)]"
18,"(312212892, 489649777)","[(1.7066769, 41.3540569), (1.7066121, 41.3540783), (1.7065417, 41.3540834)]"
19,"(312212892, 312212874)","[(1.7066769, 41.3540569), (1.7067308, 41.3540205), (1.7067665, 41.3539731), (1.7067802, 41.3539197), (1.7067705, 41.3538657), (1.7067384, 41.3538169), (1.7066873, 41.3537783)]"
20,"(312212892, 489649780)","[(1.7066769, 41.3540569), (1.7066546, 41.3542103), (1.7066029, 41.3545216), (1.7066017, 41.3546974)]"
21,"(312212899, 5031515428)","[(1.7120113, 41.3498572), (1.7119754, 41.3498236), (1.7119539, 41.3497837), (1.7119485, 41.3497408)]"
22,"(312212899, 2197678665)","[(1.7120113, 41.3498572), (1.7120585, 41.3498816), (1.7121132, 41.3498948), (1.7121705, 41.3498956)]"
23,"(312212899, 1653465775)","[(1.7120113, 41.3498572), (1.7108667, 41.3507012), (1.7097651, 41.3515135), (1.7092472, 41.3518957), (1.7080923, 41.3527202)]"
24,"(312212918, 5031515310)",
25,"(312212918, 312212986)","[(1.7111574, 41.347888), (1.7111353, 41.3479907), (1.7111079, 41.3480347), (1.7110289, 41.348116)]"
26,"(312212918, 4115913418)","[(1.7111574, 41.347888), (1.7110881, 41.3478034), (1.7109855, 41.3477468), (1.7109271, 41.347732)]"
27,"(312212929, 4115913418)",
28,"(312212929, 312212937)","[(1.7107999, 41.3477044), (1.7107138, 41.3477339), (1.7106441, 41.3477717), (1.7105939, 41.3478181), (1.7105595, 41.3478822)]"
29,"(312212929, 4115913416)","[(1.7107999, 41.3477044), (1.7107777, 41.3473581), (1.7107482, 41.3470681), (1.7107463, 41.3468741)]"
30,"(312212937, 312212929)","[(1.7105595, 41.3478822), (1.7105939, 41.3478181), (1.7106441, 41.3477717), (1.7107138, 41.3477339), (1.7107999, 41.3477044)]"
31,"(312212937, 2108953715)","[(1.7105595, 41.3478822), (1.7105584, 41.3479749), (1.7105778, 41.3480877)]"
32,"(312212937, 440669472)","[(1.7105595, 41.3478822), (1.7103393, 41.3478316), (1.7082487, 41.3473514)]"
33,"(312212982, 4560845756)",
34,"(312212982, 2197678602)",
35,"(312212982, 2108953715)","[(1.7107651, 41.3482506), (1.710687, 41.3482365), (1.7106243, 41.348195), (1.7105778, 41.3480877)]"
36,"(312212986, 2197678603)",
37,"(312212986, 312212918)","[(1.7110289, 41.348116), (1.7111079, 41.3480347), (1.7111353, 41.3479907), (1.7111574, 41.347888)]"
38,"(312212986, 429614903)","[(1.7110289, 41.348116), (1.7112036, 41.3480964), (1.7113368, 41.3480918), (1.7115654, 41.3481011)]"
39,"(312213002, 5031515318)",
40,"(312213002, 367878648)","[(1.7141105, 41.3489571), (1.7138275, 41.3488867), (1.7135839, 41.3488642), (1.7133647, 41.3489185), (1.7131403, 41.3490326)]"
41,"(312213002, 2108953730)","[(1.7141105, 41.3489571), (1.7142373, 41.3490237), (1.7142988, 41.3490395), (1.7143629, 41.349048), (1.7144392, 41.3490511)]"
42,"(312213015, 312213034)",
43,"(312213015, 312213030)","[(1.7148796, 41.348706), (1.7148798, 41.3487783), (1.7148916, 41.3488378), (1.7149174, 41.3488895), (1.7149491, 41.3489454), (1.7149897, 41.3489981), (1.715032, 41.3490434), (1.7150945, 41.3490901)]"
44,"(312213015, 2108953730)","[(1.7148796, 41.348706), (1.7148536, 41.3488263), (1.714835, 41.3488693), (1.7147938, 41.3489142), (1.7146826, 41.3489855), (1.7145779, 41.3490257), (1.7144392, 41.3490511)]"
45,"(312213018, 312213030)","[(1.7156433, 41.3492153), (1.7155373, 41.3492209), (1.7154425, 41.3492143), (1.7153468, 41.3492), (1.7152254, 41.3491602), (1.7151571, 41.3491282), (1.7150945, 41.3490901)]"
